Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
200502,Atkins Ltd  t/a Faithful Gould,51248928,R1101,Agency Staff Pay,12853.55,20/07/2017,Communities
200505,ATS Euromaster Ltd,51250296,R3004,Repair & Maintenance Of Vehicles,4191.72,18/07/2017,Communities
200516,Austrey Pre School,51237980,R6106,Early Years Funding (PVIs and LA),515.77,03/07/2017,Communities
100007,Autism West Midlands,51255072,R5806,Residential Care,7477,27/07/2017,People Group
100008,Autism West Midlands (Oakfield House),51255236,R5806,Residential Care,4071.6,27/07/2017,People Group
100001,Autism West Midlands (Pinetrees),51255073,R5806,Residential Care,4082.8,27/07/2017,People Group
230897,Avery Homes (Cannock) Ltd - Abbey Court Nursing Home,51255046,R5806,Residential Care,2020.52,27/07/2017,People Group
100431,Avery Homes Nuneaton Ltd,51255051,R5806,Residential Care,4734.44,27/07/2017,People Group
100431,Avery Homes Nuneaton Ltd,51255051,R5806,Residential Care,14612.46,27/07/2017,People Group
100431,Avery Homes Nuneaton Ltd,51255051,R5806,Residential Care,2001.72,27/07/2017,People Group
228807,Avery Homes RH Ltd -Scholar Mews,51255276,R5806,Residential Care,604.66,27/07/2017,People Group
234186,AVG Technologies UK Ltd,51242908,R4512,Software,922.5,28/07/2017,Schools
223426,Avon Park School,51255032,R6107,SEN Statements Funding,16612.67,26/07/2017,Communities
223426,Avon Park School,51254597,R6107,SEN Statements Funding,16488.34,26/07/2017,Communities
223426,Avon Park School,51254525,R6107,SEN Statements Funding,16612.67,26/07/2017,Communities
223426,Avon Park School,51254574,R6107,SEN Statements Funding,16612.67,26/07/2017,Communities
223426,Avon Park School,51254529,R6107,SEN Statements Funding,16488.33,26/07/2017,Communities
223426,Avon Park School,51254532,R6107,SEN Statements Funding,14229,26/07/2017,Communities
223426,Avon Park School,51254588,R6107,SEN Statements Funding,18894,26/07/2017,Communities
223426,Avon Park School,51254586,R6107,SEN Statements Funding,21274,26/07/2017,Communities
223426,Avon Park School,51254584,R6107,SEN Statements Funding,19821.67,26/07/2017,Communities
223426,Avon Park School,51254582,R6107,SEN Statements Funding,14229,26/07/2017,Communities
223426,Avon Park School,51254581,R6107,SEN Statements Funding,16612.67,26/07/2017,Communities
223426,Avon Park School,51254578,R6107,SEN Statements Funding,21274,26/07/2017,Communities
223426,Avon Park School,51254577,R6107,SEN Statements Funding,19821.67,26/07/2017,Communities
223426,Avon Park School,51254576,R6107,SEN Statements Funding,18894,26/07/2017,Communities
223426,Avon Park School,51254575,R6107,SEN Statements Funding,16612.67,26/07/2017,Communities
223426,Avon Park School,51254528,R6107,SEN Statements Funding,19821.67,26/07/2017,Communities
223426,Avon Park School,51254572,R6107,SEN Statements Funding,16612.67,26/07/2017,Communities
223426,Avon Park School,51254571,R6107,SEN Statements Funding,21274,26/07/2017,Communities
