Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
220279,Saw The Gap Ltd t/a Banana Moon Hatton Nursery (Hatton),51576996,R6106,Early Years Funding (PVIs and LA),"1,666.35",19/11/2019,Communities,
220279,Saw The Gap Ltd t/a Banana Moon Hatton Nursery (Hatton),51581333,C1060,Grants & Contributions To Outside Organisations,"1,705.41",26/11/2019,Capital,
227925,Sector Global,51569343,R4301,"Advertising, Publicity & Promotion","5,538.00",15/11/2019,Communities,
231949,Seedling Nursery Leamington Spa,51576473,R6106,Early Years Funding (PVIs and LA),726.54,15/11/2019,Communities,
210710,Seedlings Day Nursery,51576521,R6106,Early Years Funding (PVIs and LA),"2,235.07",15/11/2019,Communities,
210710,Seedlings Day Nursery,51576860,R6106,Early Years Funding (PVIs and LA),"1,444.17",19/11/2019,Communities,
205483,Seesaw Nursery,51576550,R6106,Early Years Funding (PVIs and LA),"12,459.84",15/11/2019,Communities,
205483,Seesaw Nursery,51576995,R6106,Early Years Funding (PVIs and LA),"3,110.52",19/11/2019,Communities,
205489,Senad Ltd,51572324,R6107,SEN Statements Funding,"43,288.00",19/11/2019,Communities,
205489,Senad Ltd,51572325,R6107,SEN Statements Funding,"23,238.78",19/11/2019,Communities,
237115,Sentio Media Ltd t/a My School App,51579799,R4512,Software,950.00,25/11/2019,People,
228584,Serene Care Ltd,51573832,R5807,Social Care Block Contracts,"6,707.88",29/11/2019,People,
231402,Servelec Education Ltd (****8360),51567163,R4512,Software,"3,456.00",01/11/2019,People,
231402,Servelec Education Ltd (****8360),51563191,R4506,IT Support & Maintenance,"3,525.12",01/11/2019,People,
231402,Servelec Education Ltd (****8360),51567763,R4512,Software,"3,456.00",14/11/2019,People,
231402,Servelec Education Ltd (****8360),51569906,R4512,Software,"13,127.40",22/11/2019,People,
214019,Severn Trent Water Ltd (Fire Hydrants ****8498),51574800,R4008,Equipment,"1,191.69",07/11/2019,Communities,
214019,Severn Trent Water Ltd (Fire Hydrants ****8498),51574798,R4008,Equipment,"1,191.69",07/11/2019,Communities,
218647,Shapes Day Nursery Ltd,51576512,R6106,Early Years Funding (PVIs and LA),"13,141.27",15/11/2019,Communities,
218647,Shapes Day Nursery Ltd,51576872,R6106,Early Years Funding (PVIs and LA),"1,444.17",19/11/2019,Communities,
205517,Shaw Trust Ltd,51566188,R4441,Professional Fees,"3,538.00",01/11/2019,Resources,
231956,Shining Examples Pre-School,51576504,R6106,Early Years Funding (PVIs and LA),"10,644.40",15/11/2019,Communities,
217434,Shipston High School Academy,51580071,R6107,SEN Statements Funding,"5,991.00",22/11/2019,Communities,
205531,Shipston Pre-School,51574813,R6106,Early Years Funding (PVIs and LA),700.00,08/11/2019,Communities,
