unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
"10010517094","3064","Land at Meadow Farm","","Coventry Road","Cawston, Dunchurch","CV22 7RZ",447680,273390,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",5.42,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10010517095","3067","Land At Balcombe Road","","Balcombe Road","Hillmorton, Rugby","n/a",451983,273704,"Freehold","Occupied by the Local Authority","Land only",0.05,"Hectares","Government, citizens and rights","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10010511877","3068","Eastlands Primary School","","Lansdowne Place","Rugby","CV21 3RY",451890,274810,"Both Freehold & Leasehold","Occupied by the Local Authority","Land with a permanent building",1495.35,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",246438.92,"Not Currently Available","D"
"100071399774","3070","Boughton Leigh Junior School","","Wetherell Way","Brownsover, Rugby","CV21 1LT",451450,277170,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2421.38,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",370357.70,"Not Currently Available","D"
"100071399773","3071","Boughton Leigh Infant School","","Hollowell Way","Rugby","CV21 1LT",451530,277180,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2098.09,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",489993.82,"Not Currently Available","C"
"10010504317","3073","Brooke School","","Overslade Lane","Rugby","CV22 6DY",449480,273900,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",4101.61,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",3221.32,"Not Currently Available","E"
"100071399721","3074","Harris School  (Academy)","","Harris Drive","Rugby","CV22 6EA",449750,274100,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",10178.94,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1043805.21,"Not Currently Available","B, D"
"10010512526","3075","Former Rokeby Infant School","Withheld","Withheld","Withheld","CV22",0,0,"Freehold","Vacant","Land with a permanent building",2212.06,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",817157.22,"Not Currently Available","n/a"
"100071399485","3076","Rokeby Primary School","","Anderson Avenue","Rugby","CV22 5PE",450270,273730,"Freehold","Occupied by the Local Authority","Land with a permanent building",1844.69,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",320791.39,"Not Currently Available","D"
"10010516036","3077","Former Bishop Wulstan School Playing Field","","Long Furlong","Rugby","CV22 5QT",450220,273450,"Freehold","Occupied by the Local Authority","Land only",4.56,"Hectares","Education and learning","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071399772","3078","St Matthew's Bloxam C.E. Primary School","","Webb Ellis Road","Bilton, Rugby","CV22 7AU",449510,274870,"Freehold","Occupied by the Local Authority","Land with a permanent building",3036.13,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",217072.80,"Not Currently Available","D"
"100071502338","3079","Henry Hinde Infant School (Academy)","","Grenville Close","Bilton, Rugby","CV22 7JQ",448130,274320,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1563.89,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",166420.10,"Not Currently Available","D"
"100071502316","3082","Rugby High School (Academy)","","Longrood Road","Bilton, Rugby","CV22 7RE",448730,272970,"Other","Vested in Trustees","Land with a permanent building",7677.32,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",996296.74,"Not Currently Available","D"
"100071502025","3083","Bilton CE Junior School","","Plantagenet Drive","Bilton, Rugby","CV22 6LB",448980,272920,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2045.55,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",392687.22,"Not Currently Available","D"
"100071502029","3085","Oakfield Primary School (Academy)","","Oakfield Road","Rugby","CV22 6AU",449770,274640,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2858.69,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",524124.89,"Not Currently Available","C, D, E"
"100071502342","3086","St Marie's Primary School (Former Junior)","","Merttens Drive","Rugby","CV22 7AF",449940,274560,"Freehold","Occupied by the Local Authority","Land with a permanent building",1376.37,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",414396.87,"Not Currently Available","E"
"100071501478","3089","Ashlawn School (Academy)","","Ashlawn Road","Rugby","CV22 5ET",452410,273490,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",14659.90,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1832254.17,"Not Currently Available","n/a"
"100071399641","3090","Bilton School A Maths & Computing Coll. (Academy)","","Lawford Lane","Rugby","CV22 7JT",447970,274050,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",11577.16,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",2316608.55,"Not Currently Available","D"
