Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
200576,Badenoch & Clark Ltd,51436527,R1101,Agency Staff Pay,2412.00,17/09/2018,People Group
200576,Badenoch & Clark Ltd,51439017,R1101,Agency Staff Pay,2412.00,21/09/2018,People Group
200576,Badenoch & Clark Ltd,51440641,R1101,Agency Staff Pay,603.00,27/09/2018,People Group
200576,Badenoch & Clark Ltd,51440636,R1101,Agency Staff Pay,1507.50,27/09/2018,People Group
,Balfour Beatty Living Places,,, DP dealt with the coding ,3558138.88,21/09/2018,Communities
200589,Balfour Beatty Living Places Ltd (****2460),51440015,R5702,Payments to External Contractors,3631261.56,24/09/2018,Communities
200593,Bambini Childcare Ltd,51439788,R6106,Early Years Funding (PVIs and LA),29571.70,24/09/2018,Communities
200593,Bambini Childcare Ltd,51440844,R6106,Early Years Funding (PVIs and LA),3421.57,25/09/2018,Communities
200594,Banana Moon Day Nursery (Grove House),51439925,R6106,Early Years Funding (PVIs and LA),22120.56,24/09/2018,Communities
200594,Banana Moon Day Nursery (Grove House),51440935,R6106,Early Years Funding (PVIs and LA),2332.89,25/09/2018,Communities
226306,Banana Moon Day Nursery (Harbury),51439826,R6106,Early Years Funding (PVIs and LA),21339.75,24/09/2018,Communities
216999,Barnsley Bate Ltd,51433617,R4441,Professional Fees,750.00,04/09/2018,Communities
229039,Bauer Radio Ltd (****2068),51436209,R5802,Substitute Care,1444.60,12/09/2018,People Group
216387,Bedworth Health Centre (Dr. Singh),51440761,R5702,Payments to External Contractors,500.10,28/09/2018,Communities
216387,Bedworth Health Centre (Dr. Singh),51440775,R5702,Payments to External Contractors,961.73,28/09/2018,Communities
233896,Bedworth Heath Nursery School and Early Years Centre,51426751,R1102,Staffing / Secondment recharges,52778.00,12/09/2018,Communities
200655,Bedworth Rugby and Nuneaton Cab,51428316,R5702,Payments to External Contractors,30000.00,07/09/2018,Communities
200656,Beechwood Childcare Ltd,51439885,R6106,Early Years Funding (PVIs and LA),15018.70,24/09/2018,Communities
200656,Beechwood Childcare Ltd,51440859,R6106,Early Years Funding (PVIs and LA),1555.26,25/09/2018,Communities
210711,Beehive Day Nursery Barford,51439825,R6106,Early Years Funding (PVIs and LA),10090.08,24/09/2018,Communities
200657,Beehive Day Nursery Rugby,51439889,R6106,Early Years Funding (PVIs and LA),16989.76,24/09/2018,Communities
200657,Beehive Day Nursery Rugby,51440834,R6106,Early Years Funding (PVIs and LA),1296.05,25/09/2018,Communities
231747,Beehive Nursery Kenilworth,51439888,R6106,Early Years Funding (PVIs and LA),21189.17,24/09/2018,Communities
231747,Beehive Nursery Kenilworth,51440825,R6106,Early Years Funding (PVIs and LA),777.63,25/09/2018,Communities
,Belvoir Lettings,3597,,,645.83,10/09/2018,People Group
237177,Benedicte Hill (Tony Hill),51435911,R3204,Home To School / College Transport,624.64,12/09/2018,Communities
232185,Bentley Cook Ltd,51435348,R1101,Agency Staff Pay,2400.00,13/09/2018,Resources
216958,Bentley International Ltd,51438456,R4512,Software,4766.08,20/09/2018,Communities
233065,Best Start Ltd t/a Tiny Treasures Daycare & Education,51439772,R6106,Early Years Funding (PVIs and LA),2328.48,24/09/2018,Communities
233065,Best Start Ltd t/a Tiny Treasures Daycare & Education,51441040,R6106,Early Years Funding (PVIs and LA),2332.89,25/09/2018,Communities
236014,BHR Pharmaceuticals Ltd,51429023,R5702,Payments to External Contractors,2030.00,12/09/2018,Communities
230921,BID Services,51429513,R4441,Professional Fees,652.50,07/09/2018,People Group
221218,Bidford Health Centre,51440683,R5702,Payments to External Contractors,612.01,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51430596,R5702,Payments to External Contractors,18912.91,14/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51430581,R5702,Payments to External Contractors,16740.36,14/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51431522,R5206,Excess / Bulk haulage,1983.41,19/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51431520,R5206,Excess / Bulk haulage,5025.43,19/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51431543,R5206,Excess / Bulk haulage,2965.86,19/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51431545,R5206,Excess / Bulk haulage,10580.06,19/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51432633,R5206,Excess / Bulk haulage,4715.33,19/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51431544,R5206,Excess / Bulk haulage,5508.84,19/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51437392,R4010,Equipment Hire,957.90,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51441987,R4010,Equipment Hire,1497.30,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51441989,R4010,Equipment Hire,1125.30,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51437391,R4010,Equipment Hire,1011.00,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51437390,R4010,Equipment Hire,1308.00,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51437389,R4010,Equipment Hire,663.00,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51437388,R4010,Equipment Hire,1261.46,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51437383,R4010,Equipment Hire,1169.16,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51437381,R4010,Equipment Hire,592.10,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51437379,R4010,Equipment Hire,1444.60,28/09/2018,Communities
210919,Biffa Municipal Ltd (****2821),51433916,R3001,Vehicle Operating Costs,532.77,28/09/2018,Communities
205755,Bilton Sunbeams Pre-School Ltd,51439989,R6106,Early Years Funding (PVIs and LA),6403.32,24/09/2018,Communities
205755,Bilton Sunbeams Pre-School Ltd,51440849,R6106,Early Years Funding (PVIs and LA),777.63,25/09/2018,Communities
200725,Birchley Supplies Ltd,51435672,R4030,Materials,545.88,12/09/2018,Communities
200726,Birchwood Pre-School,51439902,R6106,Early Years Funding (PVIs and LA),21072.74,24/09/2018,Communities
200726,Birchwood Pre-School,51440862,R6106,Early Years Funding (PVIs and LA),4976.83,25/09/2018,Communities
218042,Birchwood Primary School (Academy),51438892,R6107,SEN Statements Funding,594.00,21/09/2018,Communities
211737,Birmingham City Council,51433923,R5203,Payments / Contributions to Public Sector Organisations,3500.00,04/09/2018,Communities
236673,Bishops Itchington Primary - Stowe Valley Trust M.A.T,51416032,R6109,Funding payment to Academies and Non WCC Schools,5610.00,18/09/2018,Schools
236673,Bishops Itchington Primary - Stowe Valley Trust M.A.T,51416036,R6108,Funding payments to WCC Schools,15678.00,18/09/2018,Schools
236673,Bishops Itchington Primary - Stowe Valley Trust M.A.T,51423274,C2060,Conditional Capital Grant Or Contribution,5631.25,18/09/2018,Capital
236673,Bishops Itchington Primary - Stowe Valley Trust M.A.T,51416037,R6108,Funding payments to WCC Schools,13109.50,18/09/2018,Schools
200748,Bishops Tachbrook Pre-School Nursery,51439846,R6106,Early Years Funding (PVIs and LA),14087.30,24/09/2018,Communities
200751,Bizzy Tots Day Nursery Ltd (Bilton),51439940,R6106,Early Years Funding (PVIs and LA),11080.85,24/09/2018,Communities
200751,Bizzy Tots Day Nursery Ltd (Bilton),51440841,R6106,Early Years Funding (PVIs and LA),1555.26,25/09/2018,Communities
200750,Bizzy Tots Day Nursery Ltd (Long Itchington),51439827,R6106,Early Years Funding (PVIs and LA),13601.82,24/09/2018,Communities
200750,Bizzy Tots Day Nursery Ltd (Long Itchington),51440851,R6106,Early Years Funding (PVIs and LA),1866.31,25/09/2018,Communities
200752,Bizzy Tots Day Nursery Ltd (Rugby),51439847,R6106,Early Years Funding (PVIs and LA),13041.82,24/09/2018,Communities
226116,BKSB Ltd,51428333,R4512,Software,2026.50,07/09/2018,Communities
200767,Blue Arrow Ltd,51428734,R1101,Agency Staff Pay,1966.16,07/09/2018,Resources
200767,Blue Arrow Ltd,51430119,R1101,Agency Staff Pay,1966.16,14/09/2018,Resources
200767,Blue Arrow Ltd,51432002,R1101,Agency Staff Pay,1966.16,21/09/2018,Resources
200767,Blue Arrow Ltd,51433364,R1101,Agency Staff Pay,1966.16,28/09/2018,Resources
225295,Blue Bell Woods Day Nursery,51439777,R6106,Early Years Funding (PVIs and LA),14825.70,24/09/2018,Communities
225295,Blue Bell Woods Day Nursery,51440827,R6106,Early Years Funding (PVIs and LA),2332.89,25/09/2018,Communities
200772,Blue Windmill Nursery,51439828,R6106,Early Years Funding (PVIs and LA),12224.52,24/09/2018,Communities
200772,Blue Windmill Nursery,51440860,R6106,Early Years Funding (PVIs and LA),2954.99,25/09/2018,Communities
237104,Bluefish Office Products Ltd t/a Halcyon,51436138,R4513,Telephones & Broadband,1054.01,20/09/2018,Schools
213979,Boots UK Ltd,51435080,R5702,Payments to External Contractors,696.00,13/09/2018,Communities
236276,Bowbrook House School Ltd,51435171,R6107,SEN Statements Funding,1913.00,10/09/2018,Communities
200823,Bradley Green Nursery School,51440817,R6106,Early Years Funding (PVIs and LA),777.63,25/09/2018,Communities
200823,Bradley Green Nursery School,51440655,R6106,Early Years Funding (PVIs and LA),17890.49,25/09/2018,Communities
200833,Brambles Pre- School,51439794,R6106,Early Years Funding (PVIs and LA),8042.96,24/09/2018,Communities
200856,Bridges Childcare,51439893,R6106,Early Years Funding (PVIs and LA),12879.99,24/09/2018,Communities
200856,Bridges Childcare,51439957,R6106,Early Years Funding (PVIs and LA),30270.24,24/09/2018,Communities
207698,Bright Horizons Day Nurseries,51439816,R6106,Early Years Funding (PVIs and LA),14941.08,24/09/2018,Communities
207698,Bright Horizons Day Nurseries,51440866,R6106,Early Years Funding (PVIs and LA),777.63,25/09/2018,Communities
200861,Bright Kids,51439941,R6106,Early Years Funding (PVIs and LA),8731.80,24/09/2018,Communities
200861,Bright Kids,51440821,R6106,Early Years Funding (PVIs and LA),3110.52,25/09/2018,Communities
200865,Brinklow Quarry Ltd,51428081,R2754,Waste Management,615.19,06/09/2018,Communities
200865,Brinklow Quarry Ltd,51428087,R2754,Waste Management,1391.30,06/09/2018,Communities
200865,Brinklow Quarry Ltd,51428085,R5702,Payments to External Contractors,2719.07,06/09/2018,Communities
200865,Brinklow Quarry Ltd,51428080,R2754,Waste Management,1387.14,06/09/2018,Communities
200867,Bristol Managed Services Ltd,51431149,R4015,Equipment Repair & Maintenance,18802.28,07/09/2018,Fire and Rescue
223596,Bristol Uniforms Ltd,51426839,R4205,"Clothing, Uniforms & Laundry",643.12,05/09/2018,Fire and Rescue
223596,Bristol Uniforms Ltd,51428989,R4205,"Clothing, Uniforms & Laundry",636.99,12/09/2018,Fire and Rescue
,British Dyslexia Assoc,28104,,,540.00,19/09/2018,People Group
200874,British Gas Trading Ltd t/a British Gas Business (Business Electricity ***4055),51434645,R2102,Energy Costs,777.01,17/09/2018,Resources
225939,British Telecommunications Plc (****0158),51441682,C1030,"New Construction, Conversion & Renovation",795451.02,27/09/2018,Capital
