Estab,School Name,Type,Phase,Education Area,District Area,2008,2009,2010
3216,The Dassett C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,3.8,2.8,2.7
3210,The Ferncumbe C.Of E. Primary School,Primary,Primary,Central,Warwick,6.9,7,3.6
5409,The George Eliot School,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,17.9,17.6,22.1
3209,The Nethersole C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,7.1,7.3,7
4112,The Polesworth School - A Specialist Language College,Secondary,Secondary,North Warwickshire,North Warwickshire,5.4,5.8,7.1
3593,The Revel C.Of E. (Aided) Primary School,Primary,Primary,Eastern,Rugby,2.9,5.2,3.9
3204,The Willows C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,12.4,9.2,8.5
2052,Thomas Jolyffe Primary School,Primary,Primary,Southern,Stratford on Avon,13.9,11.8,15.3
2307,Thorns Community Infant School,Infant,Primary,Central,Warwick,3.4,2.8,3.4
4752,Trinity Catholic School - A Specialist Arts and Technology College,Secondary,Secondary,Central,Warwick,8.2,9,8.9
3068,Tysoe C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,2.6,2.1,4
3072,Warton Nethersole's C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,1.5,2.2,7.1
1022,Warwick Children's Centre & Nursery School,Nursery,Nursery,Central,Warwick,0,0,0
2618,Water Orton Primary School,Primary,Primary,North Warwickshire,North Warwickshire,2.9,5.8,8
2632,Weddington Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,6.8,6.7,8
7044,Welcombe Hills School,Special,Special,Southern,Stratford on Avon,11.5,12.6,14.4
2058,Welford-On-Avon Primary School,Primary,Primary,Southern,Stratford on Avon,0.5,1.9,2.3
3073,Wellesbourne C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,7.4,5.4,9.6
2629,Wembrook Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,22.6,21.7,24.5
2322,Westgate Primary School,Primary,Primary,Central,Warwick,27.6,22.8,23.9
2021,Wheelwright Lane Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,6.6,9.6,12.7
2123,Whitestone Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.4,8,12.6
1003,Whitnash Nursery School,Nursery,Nursery,Central,Warwick,0,0,0
2324,Whitnash Primary School,Primary,Primary,Central,Warwick,23.1,27,35.6
3313,Wilmcote C.Of E. (Voluntary Aided) Primary School,Primary,Primary,Southern,Stratford on Avon,10,12.8,12.5
3192,Wolston St. Margaret's C.Of E. Primary School,Primary,Primary,Eastern,Rugby,5.7,5.8,8.4
5201,Wolverton Primary School,Primary,Primary,Southern,Stratford on Avon,0,2,0
3193,Wolvey C.Of E. Primary School,Primary,Primary,Nuneaton & Bedworth,Rugby,6.7,8,3.3
2063,Wood End Primary School,Primary,Primary,North Warwickshire,North Warwickshire,9,8.3,13.8
7047,Woodlands School,Special,Special,North Warwickshire,North Warwickshire,30.5,35.4,37.4
5207,Woodloes Primary School,Primary,Primary,Central,Warwick,0,0,22.6
2642,Woodside C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,7.1,9.7,11.5
3074,Wootton Wawen C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,4.8,4.7,5.5
