ESTAB,School Name,Type,Phase,Education Area,District,2006_07_Total absence_4half_terms ,2007_08_Total absence_4half_terms ,2008_09_Total absence_4half_terms ,2006_07_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms 
3207,Shustoke C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,4,4.2,4.6,0,0.7,0.7
2046,Snitterfield Primary School,Primary,Primary,Southern,Stratford upon Avon,5.6,4.6,6.7,1.1,1.1,2.3
4114,Southam College,Secondary,Secondary,Central,Stratford upon Avon,6.2,5.7,6.4,3.9,3.5,4.9
2624,Southam Primary School,Primary,Primary,Central,Stratford upon Avon,3.4,4,4.2,0.4,1.4,1.4
3585,Southam St. James (Voluntary Aided) C. Of E. Primary School,Primary,Primary,Central,Stratford upon Avon,2.3,3.1,3.5,0.5,0,1.2
3591,St. Andrew's Benn C.Of E. (Voluntary Aided) Primary School,Primary,Primary,Eastern,Rugby,5.5,4.2,5.5,2.6,0.5,1.7
3583,St. Anne's Catholic Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,7.8,6.4,7.2,4.7,2.4,3.9
3544,St. Anthony's Catholic Primary School,Primary,Primary,Central,Warwick,5.3,4.5,5.1,2.8,2.3,0.6
3541,St. Augustine's Catholic Primary School,Primary,Primary,Central,Warwick,3.1,4.2,3,0,0.6,0.6
4730,St. Benedict's Catholic High School,Secondary,Secondary,Southern,Stratford upon Avon,5.3,5.2,5.8,1.6,1.8,1.1
3501,St. Benedict's Catholic Primary School,Primary,Primary,North Warwickshire,North Warwickshire,4.1,4.8,4.7,1.4,2.9,0.7
3503,St. Edward's Catholic Primary School,Primary,Primary,North Warwickshire,North Warwickshire,4.5,6.3,4.5,1.6,2.1,1.1
3502,St. Francis Catholic Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.9,5.6,5.3,1.7,4.5,2.8
2571,St. Giles Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.6,7.1,6.5,3.1,7.3,4.8
3506,St. Gregory's Catholic Primary School,Primary,Primary,Southern,Stratford upon Avon,3.9,3.7,4.5,0,0.5,1
3015,St. James C.Of E. Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.3,3.2,5.2,1.7,1.3,5.2
2620,"St. John's Primary School, Nursery and Children's Centre",Primary,Primary,Central,Warwick,5,5.5,5.1,0.5,3.5,2.8
3584,St. Joseph's Catholic Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.1,3.9,5.5,1.1,1.4,1.4
3547,St. Joseph's Catholic Primary School,Primary,Primary,Central,Warwick,3.4,3.1,3.7,0.5,0.6,0
3589,St. Lawrence C.Of E. (Voluntary Aided) Primary School,Primary,Primary,Central,Stratford upon Avon,5,4.5,4,0,0.8,0
3157,St. Margaret's C.Of E. Junior School,Junior,Primary,Central,Warwick,3.8,4.3,4.3,0.6,0.6,0.8
3563,St. Marie's Catholic Infant School,Infant,Primary,Eastern,Rugby,5.6,6.3,8.5,1.9,1.8,6.1
3562,St. Marie's Catholic Junior School,Junior,Primary,Eastern,Rugby,5,4.8,5.4,3.4,2.8,3
3545,St. Mary Immaculate Catholic Primary School,Primary,Primary,Central,Warwick,4.9,5.1,5.9,0,1.3,1.3
3508,"St. Mary's Catholic Primary School, Henley in Arden",Primary,Primary,Southern,Stratford upon Avon,5.1,7.4,5.9,2.1,5.4,2.5
3505,"St. Mary's Catholic Primary School, Southam",Primary,Primary,Central,Stratford upon Avon,4.8,3.9,4.5,1.2,1.2,1.5
3507,"St. Mary's Catholic Primary School, Studley",Primary,Primary,Southern,Stratford upon Avon,2.9,3,3.5,0,0,1
3213,St. Matthew's Bloxam C.Of E. Primary School,Primary,Primary,Eastern,Rugby,4.9,5,5.5,1.6,2.2,1.1
2641,St. Michael's C.Of E. Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,8.8,6.9,7.7,7.5,8,5.2
3595,"St. Nicholas' C. Of E. Primary School, Alcester",Primary,Primary,Southern,Stratford upon Avon,4.6,4.8,5.7,2.1,2.3,1.5
3146,"St. Nicholas C.Of E. Primary School, Kenilworth",Primary,Primary,Central,Warwick,3.6,4.2,4,0.3,0.6,1.2
